model,metric,mean,std,median,q025,q975
Genomic features only,roc_auc,0.6964121863799285,0.10614462736105669,0.7037037037037037,0.4743951612903226,0.8910185185185184
Genomic features only,average_precision,0.5299990330315053,0.14576648810332785,0.5279979171155642,0.25591677283772873,0.8174952545857717
Genomic features only,balanced_accuracy,0.6500887096774194,0.09514622230859585,0.6555555555555556,0.44652217741935485,0.8234688620071684
Genomic features only,sensitivity,0.5308333333333334,0.17739924452094796,0.5555555555555556,0.2222222222222222,0.8888888888888888
Genomic features only,specificity,0.7693440860215054,0.09285506343948086,0.7741935483870968,0.5243010752688172,0.9
Genomic features + width,roc_auc,0.8703025686977299,0.06654446733851282,0.8814814814814815,0.7316442652329749,0.9698588709677419
Genomic features + width,average_precision,0.7197255615045376,0.11741120477802484,0.7287517420850755,0.47089723267372724,0.9221417966224951
Genomic features + width,balanced_accuracy,0.7822562724014338,0.0861195097781427,0.788888888888889,0.6222222222222222,0.9344623655913978
Genomic features + width,sensitivity,0.7522222222222221,0.1706834519020843,0.7777777777777778,0.4444444444444444,1.0
Genomic features + width,specificity,0.8122903225806453,0.06845686297913121,0.8064516129032258,0.6825,0.9333333333333333
