cell_type,chrom,start,end,frequency,recurrent,region_width_bp,region_width_kb,mean_pseudobulk_rt_untreated,rt_class
U2OS,chr1,71820920,72034520,4,True,213600,213.6,-0.4466316398770201,Late
U2OS,chr1,81112245,81254164,1,False,141919,141.92,-0.4416970968409858,Late
U2OS,chr1,93776765,94200752,2,True,423987,423.99,0.47854761739926266,Early
U2OS,chr1,95192764,95430801,1,False,238037,238.04,0.5007569428597184,Early
U2OS,chr1,115364959,115415185,1,False,50226,50.23,0.2029687754823264,Mid
U2OS,chr1,169736985,170401160,1,False,664175,664.17,-0.1477859106815801,Mid
U2OS,chr1,174664260,174729196,1,False,64936,64.94,-0.13058275279688997,Mid
U2OS,chr1,177659835,178109472,1,False,449637,449.64,0.08101703563859906,Mid
U2OS,chr1,185609028,185982993,1,False,373965,373.96,-0.018810516920687755,Mid
U2OS,chr1,187284061,187805805,2,True,521744,521.74,-0.44312085918774546,Late
U2OS,chr1,190524412,190885452,1,False,361040,361.04,-0.4992026466802916,Late
U2OS,chr1,206332197,206939778,1,False,607581,607.58,0.3808671226743674,Early
U2OS,chr1,207946626,208123625,1,False,176999,177.0,0.37657110554033013,Early
U2OS,chr1,214424107,214884316,1,False,460209,460.21,0.2710676317805777,Early
U2OS,chr1,219909520,220014163,1,False,104643,104.64,0.050432240325986546,Mid
U2OS,chr1,222046631,222314554,1,False,267923,267.92,-0.041404753976421994,Mid
U2OS,chr1,235047923,235242310,1,False,194387,194.39,0.37141909981989035,Early
U2OS,chr1,238149733,239347101,2,True,1197368,1197.37,-0.2933547562481853,Late
U2OS,chr1,241136133,241769143,1,False,633010,633.01,0.02908448794934603,Mid
U2OS,chr1,244947220,245284543,1,False,337323,337.32,0.08944990311521293,Mid
U2OS,chr10,53321802,53981853,3,True,660051,660.05,-0.1574385128848872,Mid
U2OS,chr10,56225505,56475494,1,False,249989,249.99,-0.4734000848360291,Late
U2OS,chr10,57450969,57897049,2,True,446080,446.08,-0.43832201959797223,Late
U2OS,chr10,71854899,72510480,2,True,655581,655.58,0.4893002058683129,Early
U2OS,chr10,73395933,74893440,3,True,1497507,1497.51,0.4306314478442355,Early
U2OS,chr10,76625447,77279591,1,False,654144,654.14,0.4326566034565307,Early
U2OS,chr10,94817088,95301026,1,False,483938,483.94,0.2844399321592776,Early
