cell_type,chromosome,break_region_count,chromosome_length_bp,density_per_100mb
U2OS,chr1,20,249250621,8.024052224929061
U2OS,chr2,16,243199373,6.5789643298134655
U2OS,chr3,10,198022430,5.049932979814458
U2OS,chr4,9,191154276,4.708238909602001
U2OS,chr5,13,180915260,7.185684612785014
U2OS,chr6,9,171115067,5.259618663504366
U2OS,chr7,12,159138663,7.540593702235641
U2OS,chr8,17,146364022,11.614876229624244
U2OS,chr9,8,141213431,5.665183505101579
U2OS,chr10,17,135534747,12.542909015058699
U2OS,chr11,8,135006516,5.92563991503936
U2OS,chr12,7,133851895,5.229660738086674
U2OS,chr13,11,115169878,9.551108493837251
U2OS,chr14,2,107349540,1.8630727248575076
U2OS,chr15,4,102531392,3.9012442160153253
U2OS,chr16,5,90354753,5.533743199984178
U2OS,chr17,3,81195210,3.6947992375412295
U2OS,chr18,2,78077248,2.5615656945285776
U2OS,chr19,12,59128983,20.294615924647307
U2OS,chr20,2,63025520,3.173317729072287
U2OS,chr21,2,48129895,4.155421490115447
U2OS,chr22,1,51304566,1.9491442535543524
U2OS,chrX,5,155270560,3.2201854620734283
U2OS,chrY,0,59373566,0.0
RPE1,chr1,13,249250621,5.215633946203889
RPE1,chr2,15,243199373,6.167779059200123
RPE1,chr3,14,198022430,7.069906171740241
RPE1,chr4,23,191154276,12.032166102316225
RPE1,chr5,17,180915260,9.396664493641941
RPE1,chr6,16,171115067,9.350433179563318
RPE1,chr7,16,159138663,10.054124936314187
RPE1,chr8,18,146364022,12.298104243131553
RPE1,chr9,12,141213431,8.49777525765237
RPE1,chr10,6,135534747,4.426909064138364
RPE1,chr11,16,135006516,11.85127983007872
RPE1,chr12,17,133851895,12.700604649639066
RPE1,chr13,16,115169878,13.892521445581457
RPE1,chr14,15,107349540,13.973045436431306
RPE1,chr15,7,102531392,6.8271773780268195
RPE1,chr16,5,90354753,5.533743199984178
RPE1,chr17,13,81195210,16.010796696011994
RPE1,chr18,13,78077248,16.650177014435755
RPE1,chr19,9,59128983,15.22096194348548
RPE1,chr20,6,63025520,9.519953187216862
RPE1,chr21,6,48129895,12.466264470346342
RPE1,chr22,2,51304566,3.898288507108705
RPE1,chrX,9,155270560,5.796333831732171
RPE1,chrY,0,59373566,0.0
BJ,chr1,9,249250621,3.610823501218077
BJ,chr2,3,243199373,1.2335558118400247
BJ,chr3,19,198022430,9.594872661647472
BJ,chr4,16,191154276,8.370202505959114
BJ,chr5,11,180915260,6.08019467235655
BJ,chr6,12,171115067,7.012824884672488
BJ,chr7,11,159138663,6.912210893716004
BJ,chr8,5,146364022,3.4161400675365425
BJ,chr9,4,141213431,2.8325917525507895
BJ,chr10,4,135534747,2.951272709425576
BJ,chr11,7,135006516,5.18493492565944
BJ,chr12,8,133851895,5.976755129241913
BJ,chr13,5,115169878,4.341412951744205
BJ,chr14,7,107349540,6.5207545370012765
BJ,chr15,8,102531392,7.802488432030651
BJ,chr16,12,90354753,13.280983679962027
BJ,chr17,6,81195210,7.389598475082459
BJ,chr18,7,78077248,8.965479930850021
BJ,chr19,3,59128983,5.073653981161827
BJ,chr20,1,63025520,1.5866588645361435
BJ,chr21,0,48129895,0.0
BJ,chr22,3,51304566,5.847432760663057
BJ,chrX,4,155270560,2.576148369658743
BJ,chrY,0,59373566,0.0
