cell_type,chrom,start,end,frequency,recurrent,region_width_bp,region_width_kb,nearest_other_cell_line,nearest_edge_distance_bp,nearest_edge_distance_kb,overlap_other_line,within_1mb_other_line
U2OS,chr1,71820920,72034520,4,True,213600,213.6,BJ,0,0.0,True,True
U2OS,chr1,81112245,81254164,1,False,141919,141.92,RPE1,8167059,8167.059,False,False
U2OS,chr1,93776765,94200752,2,True,423987,423.99,RPE1,0,0.0,True,True
U2OS,chr1,95192764,95430801,1,False,238037,238.04,RPE1,0,0.0,True,True
U2OS,chr1,115364959,115415185,1,False,50226,50.23,BJ,5838363,5838.363,False,False
U2OS,chr1,169736985,170401160,1,False,664175,664.17,RPE1,8411080,8411.08,False,False
U2OS,chr1,174664260,174729196,1,False,64936,64.94,RPE1,4825131,4825.131,False,False
U2OS,chr1,177659835,178109472,1,False,449637,449.64,RPE1,1444855,1444.855,False,False
U2OS,chr1,185609028,185982993,1,False,373965,373.96,RPE1,4272861,4272.861,False,False
U2OS,chr1,187284061,187805805,2,True,521744,521.74,RPE1,5947894,5947.894,False,False
U2OS,chr1,190524412,190885452,1,False,361040,361.04,RPE1,9188245,9188.245,False,False
U2OS,chr1,206332197,206939778,1,False,607581,607.58,RPE1,240916,240.916,False,True
U2OS,chr1,207946626,208123625,1,False,176999,177.0,RPE1,264609,264.609,False,True
U2OS,chr1,214424107,214884316,1,False,460209,460.21,RPE1,6742090,6742.09,False,False
U2OS,chr1,219909520,220014163,1,False,104643,104.64,RPE1,6584393,6584.393,False,False
U2OS,chr1,222046631,222314554,1,False,267923,267.92,RPE1,4284002,4284.002,False,False
U2OS,chr1,235047923,235242310,1,False,194387,194.39,RPE1,0,0.0,True,True
U2OS,chr1,238149733,239347101,2,True,1197368,1197.37,RPE1,0,0.0,True,True
U2OS,chr1,241136133,241769143,1,False,633010,633.01,RPE1,0,0.0,True,True
U2OS,chr1,244947220,245284543,1,False,337323,337.32,BJ,629120,629.12,False,True
U2OS,chr10,53321802,53981853,3,True,660051,660.05,BJ,3677802,3677.802,False,False
U2OS,chr10,56225505,56475494,1,False,249989,249.99,BJ,1184161,1184.161,False,False
U2OS,chr10,57450969,57897049,2,True,446080,446.08,BJ,0,0.0,True,True
U2OS,chr10,71854899,72510480,2,True,655581,655.58,BJ,9557611,9557.611,False,False
U2OS,chr10,73395933,74893440,3,True,1497507,1497.51,BJ,7174651,7174.651,False,False
U2OS,chr10,76625447,77279591,1,False,654144,654.14,BJ,4788500,4788.5,False,False
U2OS,chr10,94817088,95301026,1,False,483938,483.94,BJ,838874,838.874,False,True
U2OS,chr10,98299506,98415141,1,False,115635,115.64,BJ,2057484,2057.484,False,False
U2OS,chr10,98911886,99668843,2,True,756957,756.96,BJ,2669864,2669.864,False,False
